complaint_id,complaint_url,capture_method,location,city,resolution_status,complaint_type,received_date,business_area,organization,unit_name,region,regulated_entity,p5_no,jurisdictional,regulated,complaint_description_type,complaint_description,resolution_description,complaint_comments,update_notes,close_date,explanation_type,explanation,referral_type,referred_to,inspection_packages_link,inspection_documents_link
0000001408,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mP9HAAU/complaint0000001408,Telephonic,FM 622 and Perdido Creek. North of the bridge,Goliad,Closed,PL,2016-04-12,Pipeline Safety,,,07-Corpus Christi,,,True,Yes,Leaking Material,,,,,2016-04-12,Other,"Complainant states that there is some ""hydrocarbon film"" and a sludge in Perdido Creek.",Field,O&G San Antonio,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP9HAAU/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP9HAAU/Inspection_Documents__r
0000000389,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mOsqAAE/complaint0000000389,Telephonic,775 RR 967,BUDA,Closed,PL,2008-02-20,Pipeline Safety,,,04-Austin,,,False,No,Leaking Material,LEAKING MATERIAL,,,,2008-03-31,Other,SOMETHING IS KILLING SHEEP AND MAKING FAMILY SICK,Field,FIELD,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOsqAAE/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOsqAAE/Inspection_Documents__r
0000001935,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mPHmAAM/complaint0000001935,Telephonic,3151 CR 4002,Newton,Closed,PL,2020-05-26,Pipeline Safety,,,03-Kilgore,,,True,Yes,Exposed Pipeline,Mr. David Page has reported that two transmission lines operated by Enterprise Products crossing his property in Newton Co are exposed and shallow beneath the nearby roadway. Mr. Page has been in contact with the pipeline operator but has had no response to remedy the issue.,,,,2020-05-29,Other,Possible unsafe conditions,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPHmAAM/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPHmAAM/Inspection_Documents__r
0000001346,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mP8HAAU/complaint0000001346,Telephonic,1509 Cottonwood Rd,Gilmer,Closed,PL,2018-12-16,Pipeline Safety,SABINE OIL & GAS LLC,,03-Kilgore,,,True,Yes,Fumes/Odor,"At approximately 10:20 pm on December 16, 2018, RRC Inspector Jared Gillam received a call from the answering service regarding a complaint from Ms. Crystal Redman regarding the smell of what she thought is gas. At approximately 10:46 pm Inspector Gillam contacted Ms. Redman who confirmed the complaint of the smell of gas. Ms. Redman states that she had made complaints to Sabine Oil and Gas, but with no long-lasting response or remediation. Sabine Oil and Gas Company ID:8411 SABINE OIL & GAS/REG 3 UID:28932: Company Representative: 832-242-9635",,,,2018-12-18,Gas Leak,,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP8HAAU/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP8HAAU/Inspection_Documents__r
0000000327,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mOrqAAE/complaint0000000327,Telephonic,150 Southshore Dr/Lake Bastrop,Bastrop,Closed,PL,2007-11-19,Pipeline Safety,,,04-Austin,,,False,No,Safety Hazard,SAFETY HAZARD,,,,2007-11-19,Other,"safery concerns, natural gas pipeline",Field,FIELD,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOrqAAE/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mOrqAAE/Inspection_Documents__r
0000001527,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mPBCAA2/complaint0000001527,Telephonic,10914 Ballentine Rd.,Houston,Closed,PL,2017-02-23,Pipeline Safety,,,05-Houston,,,True,Yes,Safety Hazard,Mr. Corolla has reported that the personnel barrier on an Exxonmobil pipeline crossing the Houston drainage culvert A1 is broken. Mr. Corolla stated that he has reported the issue several times and still no action has been taken and would like the RRC to help resolve this safety concern.,,,,2017-08-09,Other,Broken personnel barrier broken,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPBCAA2/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPBCAA2/Inspection_Documents__r
0000001589,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mPCCAA2/complaint0000001589,Letter,1100 Sunny Creek Lane,Euless,Closed,PL,2019-02-13,Pipeline Safety,,,06-Fort Worth,,,True,Yes,Fumes/Odor,Mrs. Caroll Williams has reported that she can smell gas under her house and that she noticed it when drilling operations began across the street from her home. Mrs. Williams is unsure of the source of the odor but does not feel safe.,,,,2019-02-22,Gas Leak,,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPCCAA2/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPCCAA2/Inspection_Documents__r
0000001174,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mP5VAAU/complaint0000001174,Telephonic,8402 Ruthby,Houston,Closed,PL,2015-12-15,Pipeline Safety,,,05-Houston,,,True,Yes,Other,Drilling mud is seeping in from the foundation,,,,2017-06-20,Other,Boring activities near the complainant's home may have caused drilling mud to seep into the complainant's home.,Field,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP5VAAU/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP5VAAU/Inspection_Documents__r
0000001693,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mPDsAAM/complaint0000001693,Telephonic,16606 CR 409,Cisco,Closed,PL,2019-09-26,Pipeline Safety,,,06-Fort Worth,,,True,Yes,Other,Daniel Wipff has reported that there have been several gas leaks from a pipeline on his property over the last three years. Mr. Wipff stated that he has dead spots in his grass and an old oak tree is dying that is near the ROW. Mr. Wipff did stat that there is no active leak but he wanted a complaint entered to document the issue.,,,,2019-10-01,Gas Leak,,Closed,,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPDsAAM/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mPDsAAM/Inspection_Documents__r
0000001061,https://rrctx.force.com/s/ietrs-complaint/a0ct0000000mP3gAAE/complaint0000001061,Telephonic,1753 North Blvd,Houston,Closed,SAFETY-PL,2015-06-11,Pipeline Safety,,,05-Houston,,,True,Yes,Exposed Pipeline,Exposed Pipeline,,,,2015-06-12,Other,Exposed pipeline in alley behind the house. Mr. Minchen stated that the pipeline in question belongs to Center Point Energy. He has reported Center Point for past 2 times without getting any resolutions. Mr. Minchen is requesting onsite Inspection from RR,Field,PLS Inspector,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP3gAAE/Inspection_Packages__r,https://rrctx.force.com/s/ietrs-complaint/related/a0ct0000000mP3gAAE/Inspection_Documents__r
